failure_type,subsystem,severity,observable_pattern,probable_root_cause,recommended_action
GEN_LOW_FUEL,GENERATOR,WARNING,Fuel level declines below 20% and continues toward the critical range.,Fuel consumed during extended operation or fuel not replenished after testing.,Refill the day tank; inspect the supply line and update the refuelling schedule.
GEN_OVERHEAT,GENERATOR,CRITICAL,Room temperature rises with increasing phase-current imbalance and frequency variation.,Restricted ventilation or insufficient cooling during sustained generator operation.,"Reduce load; inspect ventilation, coolant level, radiator and cooling fans."
GEN_VOLTAGE_INSTABILITY,GENERATOR,CRITICAL,Phase voltage spread and frequency deviation increase before output becomes unstable.,Alternator regulation or governor instability under changing load.,"Isolate nonessential load; inspect AVR, governor response and phase connections."
ATS_TRANSFER_FAILURE,ATS,CRITICAL,"Mains becomes unavailable while generator voltage is present, but transfer is not completed.","Transfer mechanism, control relay or emergency-stop interlock prevents source changeover.",Verify emergency-stop and interlocks; inspect transfer actuator and control relays; transfer manually if authorised.
MDP_SUPPLY_LOSS,MDP,CRITICAL,All incoming phases collapse following an upstream ATS transfer failure.,Upstream ATS did not forward generator power to the main distribution panel.,Restore the upstream source through the ATS before investigating downstream panels.
MDP_PHASE_IMBALANCE,MDP,WARNING,One phase drifts while phase-current imbalance and cabinet temperature increase.,Uneven phase loading or a loose/high-resistance phase connection.,Redistribute load; inspect terminals for heating and torque connections to specification.
SDP_BREAKER_TRIP,SDP,CRITICAL,Current and temperature rise before the local breaker opens and phase voltage falls to zero.,Sustained overload or downstream short-circuit condition.,Keep the breaker open; isolate downstream circuits; inspect load and protection coordination before reset.
SDP_SUPPLY_LOSS,SDP,CRITICAL,All phases collapse because the upstream ATS/MDP supply is unavailable.,Loss of the common upstream electrical supply.,Restore ATS and MDP supply first; confirm all phases before re-energising the panel.
UPS_INPUT_POWER_LOSS,UPS,WARNING,Input voltage disappears and the UPS changes to battery operation with declining charge and runtime.,Upstream breaker trip or common distribution supply loss.,Restore the upstream breaker/source before battery runtime is exhausted; shed nonessential load if needed.
UPS_BATTERY_DEGRADATION,UPS,CRITICAL,Estimated runtime and battery voltage decline faster than expected during a discharge test.,"Reduced battery capacity caused by age, temperature exposure or incomplete charging.",Run a controlled battery test; inspect battery modules and replace the weak battery string.
UPS_OVERLOAD,UPS,CRITICAL,"Load rises above 80%, temperature increases and estimated runtime falls.",Excess connected load or failed load distribution.,Remove noncritical load; verify connected equipment and redistribute load between UPS units.
FIRE_ALARM,ALL,CRITICAL,No dependable telemetry precursor; digital fire input changes state.,Fire detector activation or fire-alarm circuit activation.,Follow the emergency response procedure; isolate power only when authorised and verify the affected room.
INTRUDER_ALARM,ALL,WARNING,No dependable telemetry precursor; digital intrusion input changes state.,Unauthorised access or intrusion-sensor activation.,Verify access records and camera coverage; dispatch authorised security staff.
